Range,Drop,DropAfterzero,DropAVG,MILs,WindageMILs
0.3333333333333333,-1.500022261724369,-1.4881557644425805,-1.4940890130834747,0.0,0.0
50.333333333333336,-2.007867439586811,-0.2433789242438768,-1.125623181915344,0.13431507960478853,0.0
100.33333333333333,-3.5190052380966836,-0.0017140836827589205,-1.7603596608897212,0.00047455251460656715,0.1
150.33333333333334,-6.034878605133283,-0.7647837218419193,-3.399831163487601,0.14131258718439013,0.0
200.33333333333334,-9.55693395067144,-2.5340337278527185,-6.045483839262079,0.35136352299677187,0.1
250.33333333333334,-14.086621158421833,-5.3109132216553645,-9.698767190038598,0.5893157147864363,0.1
300.3333333333333,-19.625393597525616,-9.096874765270739,-14.361134181398178,0.841368365267364,0.1
350.3333333333333,-26.174708134285417,-13.893374403193771,-20.034041268739593,1.1015996196633184,0.19999999999999998
400.3333333333333,-33.73602514397191,-19.701871681373518,-26.718948412672713,1.3670463281552538,0.19999999999999998
450.3333333333333,-42.31080852265843,-26.52382966143339,-34.41731909204591,1.6360615384550572,0.19999999999999998
500.3333333333333,-51.90052569911656,-34.36071493351393,-43.130620316315245,1.907656836193312,0.30000000000000004
550.3333333333334,-62.50664764676467,-43.21399762864469,-52.860322637704684,2.1812031914316923,0.30000000000000004
600.3333333333334,-74.1306488956697,-53.085151430950944,-63.60790016331032,2.4562812988594733,0.4
650.3333333333334,-86.77400754459481,-63.975653589805404,-75.3748305672001,2.7326009563388607,0.4
700.3333333333334,-100.4382052730927,-75.88698493197504,-88.16259510253387,3.0099549790566016,0.4
750.3333333333334,-115.1247273536905,-88.82062987383253,-101.97267861376152,3.2881915398279475,0.5
800.3333333333334,-130.83506266406667,-102.77807643354456,-116.80656954880561,3.567196877465797,0.5
850.3333333333334,-147.5707036993295,-117.76081624335241,-132.66575997134095,3.846884105689024,0.6
900.3333333333334,-165.3331465843459,-133.77034456189793,-149.55174557312193,4.127185751014991,0.6
950.3333333333334,-184.1238910860894,-150.80816028656463,-167.46602568632701,4.408048646280972,0.6
1000.3333333333334,-203.94444062606806,-168.87576596589662,-186.41010329598234,4.689430355600818,0.7000000000000001
