Range,Drop,DropAfterzero,DropAVG,MILs,WindageMILs
0.3333333333333333,-1.5000316792752246,-1.48527392993318,-1.4926528046042025,0.0,0.0
50.333333333333336,-2.2234445992469136,-0.028977053540531567,-1.1262108263937225,0.01599175140205936,0.0
100.33333333333333,-4.378995834814792,-0.004593720149663074,-2.1917947774822277,0.0012717940613685146,0.0
150.33333333333334,-7.973203852417083,-1.418864607667847,-4.696034230042465,0.2621701048905851,0.0
200.33333333333334,-13.012636717727037,-4.2783560504201645,-8.645496384073601,0.5932274057709601,0.0
250.33333333333334,-19.503912625628928,-8.589684188085101,-14.046798406857015,0.9531385028944852,0.0
300.3333333333333,-27.453700437497016,-14.359515750857753,-20.906608094177386,1.3281091149516975,0.0
350.3333333333333,-36.86872022590479,-21.59456863947367,-29.23164443268923,1.7122239644365425,0.0
400.3333333333333,-47.75574382688198,-30.301612486049727,-39.02867815646586,2.1025265394150523,0.1
450.3333333333333,-60.12159539985275,-40.48746921664599,-50.30453230824937,2.4973765862722668,0.1
500.3333333333333,-73.97315199539412,-52.15901361985315,-63.06608280762363,2.895792450580344,0.1
550.3333333333334,-89.31734413092218,-65.32317392265062,-77.3202590267864,3.2971519242202008,0.1
600.3333333333334,-106.16115637448083,-79.98693237408942,-93.07404437428512,3.701042586252518,0.1
650.3333333333334,-124.5116279367338,-96.15732583704727,-110.33447688689054,4.107181182173554,0.19999999999999998
700.3333333333334,-144.37585327133147,-113.8414463882892,-129.10864982981033,4.515367538802523,0.19999999999999998
750.3333333333334,-165.76098268377862,-133.04644192698953,-149.4037123053841,4.925456905337981,0.19999999999999998
800.3333333333334,-188.6742229489607,-153.77951679188703,-171.22686987042385,5.337342662497814,0.19999999999999998
850.3333333333334,-213.1228379374722,-176.04793238722465,-194.58538516234842,5.750945132210397,0.19999999999999998
900.3333333333334,-239.11414925090847,-199.8590078176391,-219.4865785342738,6.166204116303811,0.19999999999999998
950.3333333333334,-266.6555368662817,-225.22012053216383,-245.93782869922276,6.583073790838414,0.30000000000000004
1000.3333333333334,-295.75443978969645,-252.13870697748166,-273.94657338358905,7.001519131886084,0.30000000000000004
