0,1885,5128,-1.5,0,0,0,0,0
50,1796,4654,0.6,-1.2,-0.3,0,0,0
100,1710,4220,0,0,0,0,0,0
150,1628,3823,-3.6,2.3,0.7,0,0,0
200,1549,3461,-10.4,5,1.4,0,0,0
250,1473,3133,-20.9,8,2.3,0,0,0
300,1402,2837,-35.4,11.3,3.3,0,0,0
350,1335,2574,-54.3,14.8,4.3,0,0,0
400,1274,2341,-78.1,18.7,5.4,0,0,0
450,1218,2139,-107.3,22.8,6.6,0,0,0
500,1167,1967,-142.3,27.2,7.9,0,0,0
550,1123,1821,-183.7,31.9,9.3,0,0,0
600,1085,1698,-232,36.9,10.7,0,0,0
650,1051,1595,-287.7,42.3,12.3,0,0,0
700,1022,1507,-351.2,47.9,13.9,0,0,0
750,996,1431,-423.2,53.9,15.7,0,0,0
800,972,1364,-503.8,60.1,17.5,0,0,0
850,951,1304,-593.6,66.7,19.4,0,0,0
900,931,1250,-693.4,73.5,21.4,0,0,0
950,912,1201,-802.8,80.7,23.5,0,0,0
1000,895,1156,-923,88.1,25.6,0,0,0
1050,878,1114,-1054.1,95.8,27.9,0,0,0
1100,863,1074,-1196.5,103.8,30.2,0,0,0
1150,848,1038,-1350.6,112.1,32.6,0,0,0
1200,834,1003,-1516.7,120.6,35.1,0,0,0
1250,820,971,-1695.9,129.5,37.7,0,0,0
