.35 Winchester Self-Loading,1905,US,0,R,8.9x29.3mmR,1452,848,1.168,13.5,0.351,,29.3mm,a.k.a. .35 WSL or .35 SL. Obsolete. Only chambered commercially in the Winchester Model 1905 rifle.
.38 Long Colt,1877,US,0,H,9.2x26.2mmR,777,195,0.502,3.7,0.358,,26.2mm,a.k.a. .38 LC. Obsolete.
.38 S&W,1877,US,3,H,9.2x19.7mmR,675,176,0.521,2.6,0.358,,19.7mm,4th or 5th oldest commercial cartridge being loaded today.
.38 Special,1902,US,6,H,9.1x29.3mmR,1090,290,0.532,6.8,0.357,0.206,29.3mm,
.38 Super,1929,US,4,H,9.04x22.86mmR,1300,500,0.769,5.4,0.356,,22.86mm,a.k.a. .38 Super and .38 Colt Auto.
.38-40 Winchester,1874,US,1,R,10.17x33.15mmR ,1160,538,0.928,19.5,0.401,0.172,33.15mm,aka 38-40 WCF. Crossover rifle/handgun cartridge.
.38-55 Winchester,1884,US,1,R,9.59x53.0mmR,1853,1165,1.257,35.0,0.379,,53.00mm,
.40 S&W,1990,US,6,H,10.2x21.6mm,1180,479,0.812,11.5,0.400,0.164,21.6mm,
.41 Action Express,1986,US,,H,10.4x22mm,1114,457,0.82,8.4,0.410,,22.0mm,
.41 Long Colt,1877,US,0,H,10.35x28.9mmR,730,235,0.644,3.4,0.410,,28.9mm,Obsolete
.41 Remington Magnum,1964,US,3,H,10.4x32.8mmR,1887,788,0.835,26.5,0.410,,32.8mm,
.42 Berdan,1868,Russia,,R,10.75x58mmR,1450,1724,2.378,77,0.430,,58mm,Black powder Russian service rifle. a.k.a. 4.2 Line Berdan. Designed by American inventor/soldier Hiram Berdan, adopted by Russia in trapdoor 1868 and turnbolt 1870 Berdan Rifles.
.44 AMP,1971,US,,H,10.9x33mm,1485,1600,2.155,27.0,0.429,,,a.k.a. .44 Auto Mag Pistol.
.44 Henry,1860,US,0,R,11x23mmR,1125,568,1.01,28,0.423,,23mm,a.k.a. .44 Rimfire, .44 Long Rimfire, or 11x23mmR. Obsolete black powder cartridge.
.44 Magnum,1955,US,6,H,10.9x32.6mmR,1550,999,1.289,31.5,0.430,0.245,32.6mm,a.k.a. .44 Remington Magnum. Lengthened .44 Special. Crossover rifle/handgun cartridge.
.44 Russian,1870,US,,H,11x25mmR,770,324,0.842,,0.429,,25mm,Also known as .44 S&W Russian. Black powder/smokeless handgun cartridge developed from .44 S&W American; developed into .44 Special.
.44 S&W American,1869,US,0,H,11x23mmR,765,259,0.677,5.5,0.434,,23mm,Obsolete black powder/smokeless handgun cartridge.
.44 Special,1907,US,4,H,10.9x29mmR,1000,400,0.8,15.0,0.430,0.138,29mm,
.44-40 Winchester,1873,US,2,H,10.8x33.3mmR,1117,656,1.175,7.3,0.428,0.123,33.3mm,First developed for lever-action, later used in revolver.
.45 ACP,1905,US,6,H,11.43x23mm,850,369,0.868,10,0.451,0.188,23mm,Automatic Colt Pistol, first self-loading U.S. Army pistol round.
.45 Colt,1873,US,4,H,11.58x32mm,960,460,0.958,13,0.452,0.140,32mm,a.k.a. .45 Long Colt or .45 LC. Used in both handgun and rifle.
.45 GAP,2003,Austria,3,H,11.5x19.2mm,1152,543,,9.0,0.451,,19.2mm,Glock Automatic Pistol.
.45 Raptor,2014,US,2,R,11.5x58mm,3000,3197,,48.5,0.452,0.151,58mm,Hybrid of the .460 S&W Magnum and the .308 Winchester. Designed to provide a .45 caliber capability to the AR-10 platform.
.45 Winchester Magnum,1979,US,1,H,11.5x30.4mm,1472,1406,1.91,18.0,0.451,,30.4mm,a.k.a. .45 Winchester Magnum. Lengthened and strengthened .45 ACP.
.45-70,1873,US,5,R,11.6x53.5mmR,2394,2518,2.104,63,0.458,0.230,53.5mm,a.k.a. .45-70 Government. One of the oldest centerfire cartridges still in commercial production.
.46 rimfire,1870,US,,H,11.6x21.2mmR,,,,20,0.456,,21.2mm,a.k.a. .46 Short, .46 Remington Carbine. First large-caliber metallic handgun cartridge. Black powder.
